acapite,appURL,descripcionEtapa,descripcionSubEtapa,estadoProyecto,expedienteCamara,fechaIngresoExpediente,idProyecto,iniciativa,origenProyecto,tipoProyecto,urgencia
"QUE INSTA AL PODER EJECUTIVO - PRESIDENCIA DE LA REPUBLICA AL CESE DE LA PERTURBACION DE LA PAZ PUBLICA A LA CIUDADANIA PARAGUAYA ANTE LA INOPERANCIA DE SU GESTION RESULTANTE DE LA CORRUPCION, INSEGURIDAD Y LA FALTA DE OPORTUNIDADES. Presentado por el Diputado Jorge Britez. ",http://silpy.congreso.gov.py/expediente/128100,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,D-2371901,09/05/2023,128100,PARLAMENTARIA,CAMARA DE DIPUTADOS,DECLARACIONES UNICAMERALES - (Art. 108-CS y 104-CD REGLAMENTO INTERNO ),ORDINARIO
"QUE INSTA AL MINISTERIO PUBLICO - FISCALIA GENERAL DEL ESTADO QUE, EN EL MARCO DE LA INVESTIGACION DEL ASESINATO DE RODRIGO
QUINTANA, JOVEN DIRIGENTE LIBERAL, SEAN INCAUTADOS LOS TELEFONOS CELULARES DE HORACIO MANUEL CARTES JARA, EX PRESIDENTE DE LA REPUBLICA DEL PARAGUAY; TADEO ROJAS, EX MINISTRO DEL INTERIOR Y CRISPULO SOTELO, EX COMANDANTE DE LA POLICIA NACIONAL Y SOLICITAR AUTORIZACION JUDICIAL PARA LA EXTRACCION DE DATOS Y/O DESGRABACION DE LOS CONTENIDOS DE DICHOS EQUIPOS ELECTRONICOS, presentado por el Diputado Jorge Britez",http://silpy.congreso.gov.py/expediente/128099,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,D-2371925,10/05/2023,128099,PARLAMENTARIA,CAMARA DE DIPUTADOS,DECLARACIONES UNICAMERALES - (Art. 108-CS y 104-CD REGLAMENTO INTERNO ),ORDINARIO
"QUE PIDE INFORMES A LA AGENCIA NACIONAL DE EVALUACION Y ACREDITACION DE LA EDUCACION SUPERIOR (ANEAES), presentado por la Diputada Rocío Abed.",http://silpy.congreso.gov.py/expediente/128098,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,D-2371902,09/05/2023,128098,PARLAMENTARIA,CAMARA DE DIPUTADOS,RESOLUCION CON RESPUESTA A PEDIDO DE INFORMES (Art. 192 CN),ORDINARIO
"QUE INSTA AL MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES (MOPC) A LA REPARACIÓN DE CAMINOS, DE LOS TRAMOS DE PUERTO CASADO HASTA EL DESVÍO DE KILOMETRO 83, DEL DESVÍO KM 65 HASTA TORO PAMPA, DESDE TORO PAMPA HASTA FUERTE OLIMPO Y DESDE TORO PAMPA HASTA BAHÍA NEGRA, DEPARTAMENTO ALTO PARAGUAY , presentado por los Diputados Carlos Núñez y Marlene Ocampos.",http://silpy.congreso.gov.py/expediente/128097,PRIMER TRÁMITE CONSTITUCIONAL,DISCUSION PLENARIO,EN TRAMITE,D-2371883,04/05/2023,128097,PARLAMENTARIA,CAMARA DE DIPUTADOS,DECLARACIONES UNICAMERALES - (Art. 108-CS y 104-CD REGLAMENTO INTERNO ),ORDINARIO
"Mensaje del Poder Ejecutivo N° 778.- Ministerio de Relaciones Exteriores, de fecha 25 de abril de 2023, por el cual remite el Proyecto de Ley “QUE APRUEBA EL MEMORÁNDUM DE ENTENDIMIENTO ENTRE EL GOBIERNO DE LA REPÚBLICA DEL PARAGUAY Y EL GOBIERNO DE AUSTRALIA SOBRE EMPLEO DE LOS FAMILIARES DEPENDIENTES DEL PERSONAL DIPLOMÁTICO, CONSULAR Y PERSONAL ADMINISTRATIVO Y TÉCNICO”, suscrito en la ciudad de Canberra, Mancomunidad de Australia, el 14 de marzo de 2023.",http://silpy.congreso.gov.py/expediente/128096,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,S-231891,26/04/2023,128096,PODER EJECUTIVO,CAMARA DE SENADORES,PROYECTO DE LEY,ORDINARIO
"Proyecto de Declaración “QUE RECONOCE A CELSA RAMÍREZ SU SIGNIFICATIVO APORTE EN LA DEFENSA DE LOS DERECHOS HUMANOS Y EN LA CONSTRUCCIÓN DE UN PAÍS DEMOCRÁTICO, PLURALISTA Y LIBRE, ASÍ COMO SU ENTEREZA FRENTE A LAS ATROCIDADES DE LA DICTADURA Y SU VALENTÍA Y CORAJE EN LA LUCHA POR LA JUSTICIA, LA IGUALDAD Y LA DIGNIDAD DEL PUEBLO PARAGUAYO”, presentado por el Senador Carlos Alberto Filizzola Pallarés, de fecha 4 de mayo de 2023.",http://silpy.congreso.gov.py/expediente/128095,PRIMER TRÁMITE CONSTITUCIONAL,DISCUSION PLENARIO,EN TRAMITE,S-2311457,04/05/2023,128095,PARLAMENTARIA,CAMARA DE SENADORES,DECLARACIONES UNICAMERALES - (Art. 108-CS y 104-CD REGLAMENTO INTERNO ),ORDINARIO
"Proyecto de Ley “QUE DECLARA DE INTERÉS SOCIAL Y EXPROPIA A FAVOR DEL INSTITUTO NACIONAL DE DESARROLLO RURAL Y DE LA TIERRA (INDERT) A LOS FINES DE LA REFORMA AGRARIA, LOS INMUEBLES INDIVIDUALIZADOS COMO FINCA N° 24 Y FINCA N° 36 DEL DISTRITO DE YASY KAÑY DEPARTAMENTO DE CANINDEYÚ Y LA FINCA N° 3.109 DEL DISTRITO DE YHU, DEPARTAMENTO DE CAAGUAZÚ, PARA SU POSTERIOR TRANSFERENCIA A TÍTULO ONEROSO A FAVOR DE LOS ACTUALES OCUPANTES”, presentado por el Senador José Gregorio Ledesma Narváez, de fecha 25 de abril de 2023.",http://silpy.congreso.gov.py/expediente/128094,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,S-2311456,28/04/2023,128094,PARLAMENTARIA,CAMARA DE SENADORES,PROYECTO DE LEY,ORDINARIO
"Proyecto de Ley “QUE DECLARA DE INTERÉS SOCIAL Y EXPROPIA A FAVOR DEL INSTITUTO NACIONAL DE DESARROLLO RURAL Y DE LA TIERRA (INDERT) A LOS FINES DE LA REFORMA AGRARIA, LOS INMUEBLES INDIVIDUALIZADOS COMO N°s 114, 515, 501 Y 502 TODAS DEL DISTRITO DE CURUGUATY, DEPARTAMENTO DE CANINDEYÚ, EN EL LUGAR DENOMINADO MARACANÁ, EN LA COLONÍA SAN MIGUEL, PARA SU POSTERIOR TRANSFERENCIA A TÍTULO ONEROSO A FAVOR DE LOS ACTUALES OCUPANTES”, presentado por el Senador José Gregorio Ledesma Narváez, de fecha 28 de abril de 2023.",http://silpy.congreso.gov.py/expediente/128093,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,S-2311455,28/04/2023,128093,PARLAMENTARIA,CAMARA DE SENADORES,PROYECTO DE LEY,ORDINARIO
"QUE INSTA A LA CORTE SUPREMA DE JUSTICIA, SALA CONSTITUCIONAL A EXPEDIRSE EN LA BREVEDAD SOBRE LO RESUELTO EN EL A.I. Nº 40 DEL 11 DE FEBRERO DE 2022",http://silpy.congreso.gov.py/expediente/128092,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,D-2371843,02/05/2023,128092,PARLAMENTARIA,CAMARA DE DIPUTADOS,DECLARACIONES UNICAMERALES - (Art. 108-CS y 104-CD REGLAMENTO INTERNO ),ORDINARIO
"QUE PIDE INFOMES AL SERVICIO NACIONAL DE SANEAMIENTO AMBIENTAL-SENASA, sobre la construcción de obras del sistema de alcantarillado sanitario condominal. Presentado por el Diputado Colin Soroka.",http://silpy.congreso.gov.py/expediente/128091,PRIMER TRÁMITE CONSTITUCIONAL,DISCUSION PLENARIO,EN TRAMITE,D-2371848,03/05/2023,128091,PARLAMENTARIA,CAMARA DE DIPUTADOS,RESOLUCION CON RESPUESTA A PEDIDO DE INFORMES (Art. 192 CN),ORDINARIO
